lat,lon,month,dissolved_oxygen
25.0,-20.0,4,222.8841034482759
25.0,-15.0,4,222.68941379310348
30.0,-80.0,4,197.837724137931
30.0,-75.0,4,222.9334827586206
30.0,-70.0,4,223.7673103448276
30.0,-65.0,4,224.46868965517243
30.0,-60.0,4,228.80555172413796
30.0,-55.0,4,227.13186206896557
30.0,-50.0,4,230.7333214285714
30.0,-45.0,4,230.1795
30.0,-40.0,4,228.43675862068966
30.0,-35.0,4,236.42944827586203
30.0,-30.0,4,228.8484482758621
30.0,-25.0,4,227.86682758620688
30.0,-20.0,4,229.6388275862069
30.0,-15.0,4,232.2295172413793
30.0,-10.0,4,237.44675862068965
-15.0,-100.0,5,169.7487307692308
-15.0,-95.0,5,141.29096551724137
-15.0,-90.0,5,121.14768965517241
-15.0,-85.0,5,99.21124137931034
-15.0,-80.0,5,57.12713793103447
-15.0,-40.0,5,198.3918214285714
-15.0,-35.0,5,194.04
-15.0,-30.0,5,192.27920689655173
-15.0,-5.0,5,207.4739090909091
-10.0,-100.0,5,113.36217241379309
-10.0,-95.0,5,96.35979310344828
-10.0,-90.0,5,84.48244827586207
-10.0,-85.0,5,86.40706896551724
-10.0,-80.0,5,89.22475999999999
-10.0,-35.0,5,188.5947931034483
-10.0,-30.0,5,172.86958620689654
-10.0,-25.0,5,175.90128
-10.0,-5.0,5,141.02146428571427
-5.0,-100.0,5,99.84479310344828
-5.0,-95.0,5,109.74203448275863
-5.0,-90.0,5,104.6523448275862
-5.0,-85.0,5,85.93506896551723
-5.0,-45.0,5,199.83096
-5.0,-40.0,5,182.02841379310343
-5.0,-35.0,5,176.98362068965517
-5.0,-30.0,5,160.39937931034484
-5.0,-25.0,5,163.19839285714284
-5.0,-15.0,5,168.34537931034484
-5.0,-10.0,5,159.6251724137931
-5.0,-5.0,5,136.7508275862069
0.0,-100.0,5,130.25810344827585
0.0,-95.0,5,122.07386206896551
0.0,-90.0,5,97.2108275862069
0.0,-85.0,5,118.79748275862069
0.0,-80.0,5,130.23951724137933
0.0,-50.0,5,171.25996551724137
0.0,-45.0,5,186.66731034482757
0.0,-40.0,5,176.34462068965516
0.0,-35.0,5,169.7545862068966
0.0,-30.0,5,163.93651724137933
0.0,-25.0,5,166.19868965517244
0.0,-20.0,5,168.18789655172412
0.0,-15.0,5,150.1996551724138
0.0,-10.0,5,145.22855172413793
0.0,-5.0,5,142.05927586206897
5.0,-100.0,5,100.20393103448276
5.0,-95.0,5,78.48468965517243
5.0,-90.0,5,55.19675862068964
5.0,-85.0,5,103.58435714285716
5.0,-80.0,5,133.54841379310344
5.0,-60.0,5,186.23089655172416
5.0,-55.0,5,182.81751724137936
5.0,-50.0,5,186.44262068965517
5.0,-45.0,5,177.8405172413793
5.0,-40.0,5,167.99437931034478
5.0,-35.0,5,165.5503103448276
5.0,-30.0,5,165.60041379310348
5.0,-25.0,5,132.98572413793102
5.0,-20.0,5,124.13868965517241
5.0,-15.0,5,117.26375862068967
10.0,-100.0,5,98.80634482758619
10.0,-95.0,5,95.05752000000001
10.0,-90.0,5,60.1313448275862
10.0,-75.0,5,193.246
10.0,-70.0,5,190.944
10.0,-65.0,5,123.32975862068965
10.0,-60.0,5,182.05275862068964
10.0,-55.0,5,195.4035862068965
10.0,-50.0,5,192.63210344827587
10.0,-45.0,5,177.4494827586207
10.0,-40.0,5,165.79965517241382
10.0,-35.0,5,161.2164482758621
10.0,-30.0,5,151.90568965517247
10.0,-25.0,5,118.77044827586207
10.0,-20.0,5,112.73606896551726
15.0,-100.0,5,148.7473448275862
15.0,-95.0,5,158.36775862068964
15.0,-90.0,5,189.5814827586207
15.0,-85.0,5,184.8466896551724
15.0,-80.0,5,189.64927586206898
15.0,-75.0,5,186.63706896551722
15.0,-70.0,5,203.0450689655172
15.0,-65.0,5,193.81958620689653
15.0,-60.0,5,197.41096551724132
15.0,-55.0,5,201.70596551724134
15.0,-50.0,5,203.30027586206893
15.0,-45.0,5,207.0923448275862
15.0,-40.0,5,203.17168965517246
15.0,-35.0,5,193.34151724137936
15.0,-30.0,5,175.7319655172414
15.0,-25.0,5,154.11120689655175
15.0,-20.0,5,104.97886206896553
20.0,-95.0,5,176.3346206896552
20.0,-90.0,5,184.53031034482757
20.0,-85.0,5,188.1194482758621
20.0,-80.0,5,191.62948
20.0,-75.0,5,196.69389655172412
20.0,-70.0,5,204.5268620689655
20.0,-65.0,5,205.96103448275858
20.0,-60.0,5,204.62141379310347
20.0,-55.0,5,205.94117241379317
20.0,-50.0,5,206.62575862068962
20.0,-45.0,5,213.1989310344827
20.0,-40.0,5,211.05696551724134
20.0,-35.0,5,215.64865517241378
20.0,-30.0,5,208.28413793103445
20.0,-25.0,5,206.45293103448273
20.0,-20.0,5,176.87710344827588
25.0,-95.0,5,182.90289655172415
25.0,-90.0,5,181.25489655172416
25.0,-85.0,5,180.4293103448276
25.0,-80.0,5,199.35910344827585
25.0,-75.0,5,211.70386206896546
25.0,-70.0,5,214.14579310344828
25.0,-65.0,5,215.00872413793107
25.0,-60.0,5,211.3998965517242
25.0,-55.0,5,213.93544827586206
25.0,-50.0,5,216.0805172413793
25.0,-45.0,5,216.90889655172413
25.0,-40.0,5,223.6785172413793
25.0,-35.0,5,222.41379310344828
25.0,-30.0,5,225.85437931034485
25.0,-25.0,5,221.9121724137931
25.0,-20.0,5,219.8763448275862
25.0,-15.0,5,221.3442068965517
30.0,-80.0,5,196.138275862069
30.0,-75.0,5,216.20006896551726
30.0,-70.0,5,214.33910344827586
30.0,-65.0,5,222.24668965517247
30.0,-60.0,5,227.4786551724138
30.0,-55.0,5,221.2698275862069
30.0,-50.0,5,224.81568965517238
30.0,-45.0,5,223.10331034482758
30.0,-40.0,5,224.85444827586204
30.0,-35.0,5,228.62037931034484
30.0,-30.0,5,225.87479310344827
30.0,-25.0,5,226.35862068965514
30.0,-20.0,5,225.95189655172413
30.0,-15.0,5,225.7543793103448
30.0,-10.0,5,230.652
-15.0,-95.0,6,160.35313793103444
-15.0,-90.0,6,127.98306896551725
-15.0,-85.0,6,108.02517241379309
-15.0,-80.0,6,65.70162068965517
-15.0,-35.0,6,191.10507692307692
-15.0,-30.0,6,192.20127586206894
-15.0,-25.0,6,189.47593103448278
-15.0,-20.0,6,179.9229
-15.0,-10.0,6,162.3418
-10.0,-100.0,6,114.70855172413792
-10.0,-95.0,6,101.7553103448276
-10.0,-90.0,6,87.29875862068967
-10.0,-85.0,6,76.45265517241378
-10.0,-80.0,6,70.5433448275862
-10.0,-35.0,6,187.07906896551722
